id,filepath,random_seed,alpha,c1,H,Latitude_Sampling,Longitude_Sampling,type
S04_A2.0_C0.05_H1.0_TOPO,/data/S04/S04_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.05,1.0,5000,10000,TOPO
S04_A2.0_C0.05_H0.4_TOPO,/data/S04/S04_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.05,0.4,5000,10000,TOPO
S04_A2.0_C0.05_H0.7_TOPO,/data/S04/S04_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.05,0.7,5000,10000,TOPO
S04_A2.0_C0.0_H1.0_TOPO,/data/S04/S04_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.0,1.0,5000,10000,TOPO
S04_A2.0_C0.0_H0.4_TOPO,/data/S04/S04_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.0,0.4,5000,10000,TOPO
S04_A2.0_C0.0_H1.0_GRAYSHAD,/data/S04/S04_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,S04,2.0,0.0,1.0,5000,10000,GRAYSHAD
S04_A2.0_C0.05_H1.0_GRAYSHAD,/data/S04/S04_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,S04,2.0,0.05,1.0,5000,10000,GRAYSHAD
S04_A2.0_C0.0_H0.4_COLOSHAD,/data/S04/S04_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,S04,2.0,0.0,0.4,5000,10000,COLOSHAD
S04_A2.0_C0.0_H1.0_GRAYFLAT,/data/S04/S04_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,S04,2.0,0.0,1.0,5000,10000,GRAYFLAT
S04_A2.0_C0.05_H0.4_COLOFLAT,/data/S04/S04_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,S04,2.0,0.05,0.4,5000,10000,COLOFLAT
S04_A2.0_C0.05_H0.7_COLOFLAT,/data/S04/S04_A20_C05_H07_LAT5000_LON10000COLOFLAT.hdf5,S04,2.0,0.05,0.7,5000,10000,COLOFLAT
S04_A2.0_C0.1_H0.7_COLOFLAT,/data/S04/S04_A20_C10_H07_LAT5000_LON10000COLOFLAT.hdf5,S04,2.0,0.1,0.7,5000,10000,COLOFLAT
S04_A2.0_C0.0_H0.7_TOPO,/data/S04/S04_A20_C00_H07_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.0,0.7,5000,10000,TOPO
S04_A2.0_C0.0_H0.7_COLOSHAD,/data/S04/S04_A20_C00_H07_LAT5000_LON10000COLOSHAD.hdf5,S04,2.0,0.0,0.7,5000,10000,COLOSHAD
S04_A2.0_C0.1_H1.0_GRAYFLAT,/data/S04/S04_A20_C10_H10_LAT5000_LON10000GRAYFLAT.hdf5,S04,2.0,0.1,1.0,5000,10000,GRAYFLAT
S04_A2.0_C0.0_H0.4_COLOFLAT,/data/S04/S04_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,S04,2.0,0.0,0.4,5000,10000,COLOFLAT
S04_A2.0_C0.05_H0.4_COLOSHAD,/data/S04/S04_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,S04,2.0,0.05,0.4,5000,10000,COLOSHAD
S04_A2.0_C0.1_H1.0_TOPO,/data/S04/S04_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.1,1.0,5000,10000,TOPO
S04_A2.0_C0.1_H0.4_TOPO,/data/S04/S04_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.1,0.4,5000,10000,TOPO
S04_A2.0_C0.1_H0.7_COLOSHAD,/data/S04/S04_A20_C10_H07_LAT5000_LON10000COLOSHAD.hdf5,S04,2.0,0.1,0.7,5000,10000,COLOSHAD
S04_A2.0_C0.1_H0.4_COLOFLAT,/data/S04/S04_A20_C10_H04_LAT5000_LON10000COLOFLAT.hdf5,S04,2.0,0.1,0.4,5000,10000,COLOFLAT
S04_A2.0_C0.05_H1.0_GRAYFLAT,/data/S04/S04_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,S04,2.0,0.05,1.0,5000,10000,GRAYFLAT
S04_A2.0_C0.1_H1.0_GRAYSHAD,/data/S04/S04_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,S04,2.0,0.1,1.0,5000,10000,GRAYSHAD
S04_A2.0_C0.1_H0.7_TOPO,/data/S04/S04_A20_C10_H07_LAT5000_LON10000TOPO.hdf5,S04,2.0,0.1,0.7,5000,10000,TOPO
S04_A2.0_C0.1_H0.4_COLOSHAD,/data/S04/S04_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,S04,2.0,0.1,0.4,5000,10000,COLOSHAD
S03_A2.0_C0.05_H0.7_COLOSHAD,/data/S03/S03_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.05,0.7,5000,10000,COLOSHAD
S03_A2.0_C0.05_H1.0_GRAYFLAT,/data/S03/S03_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,S03,2.0,0.05,1.0,5000,10000,GRAYFLAT
S03_A2.0_C0.1_H0.7_TOPO,/data/S03/S03_A20_C10_H07_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.1,0.7,5000,10000,TOPO
S03_A2.0_C0.05_H0.4_TOPO,/data/S03/S03_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.05,0.4,5000,10000,TOPO
S03_A2.0_C0.1_H1.0_GRAYFLAT,/data/S03/S03_A20_C10_H10_LAT5000_LON10000GRAYFLAT.hdf5,S03,2.0,0.1,1.0,5000,10000,GRAYFLAT
S03_A2.0_C0.1_H1.0_GRAYSHAD,/data/S03/S03_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,S03,2.0,0.1,1.0,5000,10000,GRAYSHAD
S03_A2.0_C0.1_H0.7_COLOFLAT,/data/S03/S03_A20_C10_H07_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.1,0.7,5000,10000,COLOFLAT
S03_A2.0_C0.1_H1.0_TOPO,/data/S03/S03_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.1,1.0,5000,10000,TOPO
S03_A2.0_C0.05_H0.7_TOPO,/data/S03/S03_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.05,0.7,5000,10000,TOPO
S03_A2.0_C0.0_H1.0_GRAYFLAT,/data/S03/S03_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,S03,2.0,0.0,1.0,5000,10000,GRAYFLAT
S03_A2.0_C0.1_H0.4_COLOFLAT,/data/S03/S03_A20_C10_H04_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.1,0.4,5000,10000,COLOFLAT
S03_A2.0_C0.0_H1.0_GRAYSHAD,/data/S03/S03_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,S03,2.0,0.0,1.0,5000,10000,GRAYSHAD
S03_A2.0_C0.1_H0.7_COLOSHAD,/data/S03/S03_A20_C10_H07_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.1,0.7,5000,10000,COLOSHAD
S03_A2.0_C0.05_H1.0_TOPO,/data/S03/S03_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.05,1.0,5000,10000,TOPO
S03_A2.0_C0.1_H0.4_COLOSHAD,/data/S03/S03_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.1,0.4,5000,10000,COLOSHAD
S03_A2.0_C0.0_H0.7_COLOSHAD,/data/S03/S03_A20_C00_H07_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.0,0.7,5000,10000,COLOSHAD
S03_A2.0_C0.1_H0.4_TOPO,/data/S03/S03_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.1,0.4,5000,10000,TOPO
S03_A2.0_C0.05_H0.4_COLOSHAD,/data/S03/S03_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.05,0.4,5000,10000,COLOSHAD
S03_A2.0_C0.0_H0.4_COLOSHAD,/data/S03/S03_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,S03,2.0,0.0,0.4,5000,10000,COLOSHAD
S03_A2.0_C0.0_H0.7_TOPO,/data/S03/S03_A20_C00_H07_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.0,0.7,5000,10000,TOPO
S03_A2.0_C0.0_H0.7_COLOFLAT,/data/S03/S03_A20_C00_H07_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.0,0.7,5000,10000,COLOFLAT
S03_A2.0_C0.0_H0.4_TOPO,/data/S03/S03_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.0,0.4,5000,10000,TOPO
S03_A2.0_C0.05_H0.7_COLOFLAT,/data/S03/S03_A20_C05_H07_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.05,0.7,5000,10000,COLOFLAT
S03_A2.0_C0.0_H0.4_COLOFLAT,/data/S03/S03_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.0,0.4,5000,10000,COLOFLAT
S03_A2.0_C0.0_H1.0_TOPO,/data/S03/S03_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,S03,2.0,0.0,1.0,5000,10000,TOPO
S03_A2.0_C0.05_H0.4_COLOFLAT,/data/S03/S03_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,S03,2.0,0.05,0.4,5000,10000,COLOFLAT
S03_A2.0_C0.05_H1.0_GRAYSHAD,/data/S03/S03_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,S03,2.0,0.05,1.0,5000,10000,GRAYSHAD
S02_A2.0_C0.05_H0.7_COLOSHAD,/data/S02/S02_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.05,0.7,5000,10000,COLOSHAD
S02_A2.0_C0.0_H0.4_TOPO,/data/S02/S02_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.0,0.4,5000,10000,TOPO
S02_A2.0_C0.0_H0.7_COLOFLAT,/data/S02/S02_A20_C00_H07_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.0,0.7,5000,10000,COLOFLAT
S02_A2.0_C0.1_H0.4_TOPO,/data/S02/S02_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.1,0.4,5000,10000,TOPO
S02_A2.0_C0.0_H0.4_COLOFLAT,/data/S02/S02_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.0,0.4,5000,10000,COLOFLAT
S02_A2.0_C0.05_H0.4_COLOFLAT,/data/S02/S02_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.05,0.4,5000,10000,COLOFLAT
S02_A2.0_C0.0_H0.4_COLOSHAD,/data/S02/S02_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.0,0.4,5000,10000,COLOSHAD
S02_A2.0_C0.1_H0.7_COLOSHAD,/data/S02/S02_A20_C10_H07_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.1,0.7,5000,10000,COLOSHAD
S02_A2.0_C0.0_H0.7_COLOSHAD,/data/S02/S02_A20_C00_H07_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.0,0.7,5000,10000,COLOSHAD
S02_A2.0_C0.05_H1.0_TOPO,/data/S02/S02_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.05,1.0,5000,10000,TOPO
S02_A2.0_C0.0_H0.7_TOPO,/data/S02/S02_A20_C00_H07_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.0,0.7,5000,10000,TOPO
S02_A2.0_C0.05_H1.0_GRAYSHAD,/data/S02/S02_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,S02,2.0,0.05,1.0,5000,10000,GRAYSHAD
S02_A2.0_C0.05_H1.0_GRAYFLAT,/data/S02/S02_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,S02,2.0,0.05,1.0,5000,10000,GRAYFLAT
S02_A2.0_C0.1_H0.4_COLOSHAD,/data/S02/S02_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.1,0.4,5000,10000,COLOSHAD
S02_A2.0_C0.05_H0.7_TOPO,/data/S02/S02_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.05,0.7,5000,10000,TOPO
S02_A2.0_C0.1_H0.7_TOPO,/data/S02/S02_A20_C10_H07_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.1,0.7,5000,10000,TOPO
S02_A2.0_C0.0_H1.0_GRAYSHAD,/data/S02/S02_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,S02,2.0,0.0,1.0,5000,10000,GRAYSHAD
S02_A2.0_C0.05_H0.4_COLOSHAD,/data/S02/S02_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,S02,2.0,0.05,0.4,5000,10000,COLOSHAD
S02_A2.0_C0.1_H1.0_TOPO,/data/S02/S02_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.1,1.0,5000,10000,TOPO
S02_A2.0_C0.0_H1.0_TOPO,/data/S02/S02_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.0,1.0,5000,10000,TOPO
S02_A2.0_C0.05_H0.4_TOPO,/data/S02/S02_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,S02,2.0,0.05,0.4,5000,10000,TOPO
S02_A2.0_C0.05_H0.7_COLOFLAT,/data/S02/S02_A20_C05_H07_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.05,0.7,5000,10000,COLOFLAT
S02_A2.0_C0.0_H1.0_GRAYFLAT,/data/S02/S02_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,S02,2.0,0.0,1.0,5000,10000,GRAYFLAT
S02_A2.0_C0.1_H1.0_GRAYFLAT,/data/S02/S02_A20_C10_H10_LAT5000_LON10000GRAYFLAT.hdf5,S02,2.0,0.1,1.0,5000,10000,GRAYFLAT
S02_A2.0_C0.1_H0.4_COLOFLAT,/data/S02/S02_A20_C10_H04_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.1,0.4,5000,10000,COLOFLAT
S02_A2.0_C0.1_H1.0_GRAYSHAD,/data/S02/S02_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,S02,2.0,0.1,1.0,5000,10000,GRAYSHAD
S02_A2.0_C0.1_H0.7_COLOFLAT,/data/S02/S02_A20_C10_H07_LAT5000_LON10000COLOFLAT.hdf5,S02,2.0,0.1,0.7,5000,10000,COLOFLAT
S05_A2.0_C0.05_H0.4_COLOFLAT,/data/S05/S05_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.05,0.4,5000,10000,COLOFLAT
S05_A2.0_C0.0_H1.0_GRAYFLAT,/data/S05/S05_A20_C00_H10_LAT5000_LON10000GRAYFLAT.hdf5,S05,2.0,0.0,1.0,5000,10000,GRAYFLAT
S05_A2.0_C0.1_H0.4_COLOFLAT,/data/S05/S05_A20_C10_H04_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.1,0.4,5000,10000,COLOFLAT
S05_A2.0_C0.05_H0.4_TOPO,/data/S05/S05_A20_C05_H04_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.05,0.4,5000,10000,TOPO
S05_A2.0_C0.05_H0.7_COLOSHAD,/data/S05/S05_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.05,0.7,5000,10000,COLOSHAD
S05_A2.0_C0.0_H0.7_TOPO,/data/S05/S05_A20_C00_H07_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.0,0.7,5000,10000,TOPO
S05_A2.0_C0.1_H0.4_TOPO,/data/S05/S05_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.1,0.4,5000,10000,TOPO
S05_A2.0_C0.0_H1.0_TOPO,/data/S05/S05_A20_C00_H10_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.0,1.0,5000,10000,TOPO
S05_A2.0_C0.05_H0.4_COLOSHAD,/data/S05/S05_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.05,0.4,5000,10000,COLOSHAD
S05_A2.0_C0.0_H0.7_COLOFLAT,/data/S05/S05_A20_C00_H07_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.0,0.7,5000,10000,COLOFLAT
S05_A2.0_C0.0_H0.4_COLOSHAD,/data/S05/S05_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.0,0.4,5000,10000,COLOSHAD
S05_A2.0_C0.1_H1.0_GRAYFLAT,/data/S05/S05_A20_C10_H10_LAT5000_LON10000GRAYFLAT.hdf5,S05,2.0,0.1,1.0,5000,10000,GRAYFLAT
S05_A2.0_C0.1_H1.0_GRAYSHAD,/data/S05/S05_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,S05,2.0,0.1,1.0,5000,10000,GRAYSHAD
S05_A2.0_C0.05_H1.0_GRAYSHAD,/data/S05/S05_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,S05,2.0,0.05,1.0,5000,10000,GRAYSHAD
S05_A2.0_C0.1_H0.4_COLOSHAD,/data/S05/S05_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.1,0.4,5000,10000,COLOSHAD
S05_A2.0_C0.0_H0.4_TOPO,/data/S05/S05_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.0,0.4,5000,10000,TOPO
S05_A2.0_C0.1_H0.7_TOPO,/data/S05/S05_A20_C10_H07_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.1,0.7,5000,10000,TOPO
S05_A2.0_C0.0_H0.7_COLOSHAD,/data/S05/S05_A20_C00_H07_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.0,0.7,5000,10000,COLOSHAD
S05_A2.0_C0.0_H0.4_COLOFLAT,/data/S05/S05_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.0,0.4,5000,10000,COLOFLAT
S05_A2.0_C0.1_H1.0_TOPO,/data/S05/S05_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.1,1.0,5000,10000,TOPO
S05_A2.0_C0.1_H0.7_COLOFLAT,/data/S05/S05_A20_C10_H07_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.1,0.7,5000,10000,COLOFLAT
S05_A2.0_C0.1_H0.7_COLOSHAD,/data/S05/S05_A20_C10_H07_LAT5000_LON10000COLOSHAD.hdf5,S05,2.0,0.1,0.7,5000,10000,COLOSHAD
S05_A2.0_C0.0_H1.0_GRAYSHAD,/data/S05/S05_A20_C00_H10_LAT5000_LON10000GRAYSHAD.hdf5,S05,2.0,0.0,1.0,5000,10000,GRAYSHAD
S05_A2.0_C0.05_H0.7_COLOFLAT,/data/S05/S05_A20_C05_H07_LAT5000_LON10000COLOFLAT.hdf5,S05,2.0,0.05,0.7,5000,10000,COLOFLAT
S05_A2.0_C0.05_H1.0_GRAYFLAT,/data/S05/S05_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,S05,2.0,0.05,1.0,5000,10000,GRAYFLAT
S05_A2.0_C0.05_H0.7_TOPO,/data/S05/S05_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.05,0.7,5000,10000,TOPO
S05_A2.0_C0.05_H1.0_TOPO,/data/S05/S05_A20_C05_H10_LAT5000_LON10000TOPO.hdf5,S05,2.0,0.05,1.0,5000,10000,TOPO
S06_A2.0_C0.1_H0.4_TOPO,/data/S06/S06_A20_C10_H04_LAT5000_LON10000TOPO.hdf5,S06,2.0,0.1,0.4,5000,10000,TOPO
S06_A2.0_C0.05_H0.4_COLOFLAT,/data/S06/S06_A20_C05_H04_LAT5000_LON10000COLOFLAT.hdf5,S06,2.0,0.05,0.4,5000,10000,COLOFLAT
S06_A2.0_C0.05_H0.4_COLOSHAD,/data/S06/S06_A20_C05_H04_LAT5000_LON10000COLOSHAD.hdf5,S06,2.0,0.05,0.4,5000,10000,COLOSHAD
S06_A2.0_C0.05_H1.0_GRAYSHAD,/data/S06/S06_A20_C05_H10_LAT5000_LON10000GRAYSHAD.hdf5,S06,2.0,0.05,1.0,5000,10000,GRAYSHAD
S06_A2.0_C0.1_H1.0_TOPO,/data/S06/S06_A20_C10_H10_LAT5000_LON10000TOPO.hdf5,S06,2.0,0.1,1.0,5000,10000,TOPO
S06_A2.0_C0.1_H0.4_COLOSHAD,/data/S06/S06_A20_C10_H04_LAT5000_LON10000COLOSHAD.hdf5,S06,2.0,0.1,0.4,5000,10000,COLOSHAD
S06_A2.0_C0.05_H0.7_TOPO,/data/S06/S06_A20_C05_H07_LAT5000_LON10000TOPO.hdf5,S06,2.0,0.05,0.7,5000,10000,TOPO
S06_A2.0_C0.0_H0.4_COLOSHAD,/data/S06/S06_A20_C00_H04_LAT5000_LON10000COLOSHAD.hdf5,S06,2.0,0.0,0.4,5000,10000,COLOSHAD
S06_A2.0_C0.05_H0.7_COLOSHAD,/data/S06/S06_A20_C05_H07_LAT5000_LON10000COLOSHAD.hdf5,S06,2.0,0.05,0.7,5000,10000,COLOSHAD
S06_A2.0_C0.0_H0.4_COLOFLAT,/data/S06/S06_A20_C00_H04_LAT5000_LON10000COLOFLAT.hdf5,S06,2.0,0.0,0.4,5000,10000,COLOFLAT
S06_A2.0_C0.05_H1.0_GRAYFLAT,/data/S06/S06_A20_C05_H10_LAT5000_LON10000GRAYFLAT.hdf5,S06,2.0,0.05,1.0,5000,10000,GRAYFLAT
S06_A2.0_C0.0_H0.4_TOPO,/data/S06/S06_A20_C00_H04_LAT5000_LON10000TOPO.hdf5,S06,2.0,0.0,0.4,5000,10000,TOPO
S06_A2.0_C0.1_H1.0_GRAYSHAD,/data/S06/S06_A20_C10_H10_LAT5000_LON10000GRAYSHAD.hdf5,S06,2.0,0.1,1.0,5000,10000,GRAYSHAD
